City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
302,Atambua,ID,81.16,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
317,Afonso Bezerra,BR,79.56,scattered clouds,-5.4983,-36.5056,Pousada Shammah
321,Kochi,IN,76.98,overcast clouds,9.9399,76.2602,Hotel Abad
323,Katherine,AU,84.52,scattered clouds,-14.4667,132.2667,Pine Tree Motel
327,Faanui,PF,81.34,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
334,Marsh Harbour,BS,77.25,few clouds,26.5412,-77.0636,Abaco Beach Resort
343,Bentong,MY,77.45,overcast clouds,3.5181,101.9079,Tras Mutiara Hotel Bentong
350,Sarangani,PH,82.51,light rain,5.4033,125.4636,Ballistic Islet
352,Bundaberg,AU,79.09,broken clouds,-24.85,152.35,Takalvan Motel
353,Presidencia Roque Saenz Pena,AR,76.5,clear sky,-26.7852,-60.4388,Hotel Aconcagua
362,Namatanai,PG,85.21,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
367,Anito,PH,78.71,broken clouds,12.4497,125.2886,FELIPA LAODENIO PROPERTY
369,Berbera,SO,75.45,few clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
370,Alappuzha,IN,77.47,overcast clouds,9.49,76.3264,Panoramic Sea Resort
374,Maragogi,BR,77.68,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
376,Bubaque,GW,81.34,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
377,Soe,ID,78.53,overcast clouds,-9.8607,124.284,Dena Hotel
378,Afikpo,NG,77.65,overcast clouds,5.8931,7.9374,P. Noble Hotels and Suite
383,Catuday,PH,75.85,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
385,San Patricio,US,76.98,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
398,Panama City,PA,83.05,scattered clouds,8.9936,-79.5197,Riande Urban Hotel
401,Belmonte,BR,75.7,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
404,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
409,Yulara,AU,78.64,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
416,San Juan,AR,78.58,broken clouds,-31.5375,-68.5364,Hotel Provincial
417,Nha Trang,VN,77.0,overcast clouds,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
426,Souillac,MU,77.38,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
