City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
104,Ionia,US,2021-11-28 22:12:31,42.9873,-85.0711,36.09,80,90,11.5
105,Esperance,AU,2021-11-28 22:12:31,-33.8667,121.9,64.24,86,96,17.18
106,Grindavik,IS,2021-11-28 22:12:32,63.8424,-22.4338,43.27,100,90,16.11
107,Redmond,US,2021-11-28 22:07:58,47.674,-122.1215,58.08,87,100,11.18
108,Port Alfred,ZA,2021-11-28 22:12:32,-33.5906,26.891,65.73,81,11,11.18
109,Sur,OM,2021-11-28 22:12:33,22.5667,59.5289,73.11,59,0,1.36
110,Yatou,CN,2021-11-28 22:12:33,37.15,122.3833,50.22,87,99,2.84
111,San Patricio,US,2021-11-28 22:12:34,28.017,-97.5169,66.61,63,100,10.13
112,Ilulissat,GL,2021-11-28 22:12:34,69.2167,-51.1,17.62,62,100,2.3
113,Longyearbyen,SJ,2021-11-28 22:12:35,78.2186,15.6401,10.24,67,75,13.8
114,Pevek,RU,2021-11-28 22:12:15,69.7008,170.3133,1.96,92,100,1.95
115,Kahului,US,2021-11-28 22:12:35,20.8947,-156.47,82.42,57,40,17.27
116,Boddam,GB,2021-11-28 22:12:36,57.4667,-1.7833,34.18,60,82,13.04
117,Vestmannaeyjar,IS,2021-11-28 22:12:36,63.4427,-20.2734,43.83,95,100,3.96
118,Namatanai,PG,2021-11-28 22:11:30,-3.6667,152.4333,82.67,74,70,5.99
119,Cidreira,BR,2021-11-28 22:12:37,-30.1811,-50.2056,71.51,89,100,10.29
120,Goderich,CA,2021-11-28 22:12:37,43.7501,-81.7165,34.12,86,100,8.05
121,Sokolo,ML,2021-11-28 22:12:38,14.7328,-6.1219,83.41,16,4,9.4
122,Huarmey,PE,2021-11-28 22:12:38,-10.0681,-78.1522,69.94,78,94,9.8
123,Isangel,VU,2021-11-28 22:07:50,-19.55,169.2667,82.42,72,100,8.19
124,Te Anau,NZ,2021-11-28 22:12:39,-45.4167,167.7167,63.27,41,18,1.1
125,Vaini,TO,2021-11-28 22:12:39,-21.2,-175.2,82.56,74,20,10.36
126,Horki,BY,2021-11-28 22:12:40,54.2861,30.9842,34.52,97,100,11.7
127,Abalak,RU,2021-11-28 22:12:40,58.1286,68.5944,21.09,83,100,8.25
128,Xinzhou,CN,2021-11-28 22:12:40,38.4092,112.7333,37.06,68,100,2.26
129,Catuday,PH,2021-11-28 22:08:57,16.2923,119.8062,78.17,76,54,8.3
130,Cockburn Town,TC,2021-11-28 22:12:41,21.4612,-71.1419,78.76,73,40,5.75
131,Cayenne,GF,2021-11-28 22:12:42,4.9333,-52.3333,78.84,94,0,3.44
132,Raga,SS,2021-11-28 22:12:42,8.4596,25.678,79.16,32,7,3.91
133,Henties Bay,NA,2021-11-28 22:12:43,-22.116,14.2845,59.77,92,0,8.01
134,Taylorville,US,2021-11-28 22:12:43,39.5489,-89.2945,42.69,30,1,11.5
135,Klaksvik,FO,2021-11-28 22:12:44,62.2266,-6.589,34.72,63,100,7.96
136,Comodoro Rivadavia,AR,2021-11-28 22:12:44,-45.8667,-67.5,71.46,26,0,29.93
137,Middle Island,US,2021-11-28 22:12:45,40.8843,-72.9373,39.31,73,90,0.0
138,Oyama,JP,2021-11-28 22:12:45,36.3,139.8,43.32,52,5,1.95
139,Tan An,VN,2021-11-28 22:12:46,10.5333,106.4167,77.02,97,100,3.85
140,Mahebourg,MU,2021-11-28 22:12:46,-20.4081,57.7,73.69,83,40,3.44
141,Geraldton,AU,2021-11-28 22:12:47,-28.7667,114.6,64.81,94,90,11.5
142,Richards Bay,ZA,2021-11-28 22:13:47,-28.783,32.0377,71.82,76,4,9.91
143,Dargaville,NZ,2021-11-28 22:13:47,-35.9333,173.8833,70.36,63,85,5.41
144,Qaanaaq,GL,2021-11-28 22:13:48,77.484,-69.3632,-8.18,75,22,8.46
145,Tamandare,BR,2021-11-28 22:13:48,-8.7597,-35.1047,80.26,82,44,12.12
146,Yerbogachen,RU,2021-11-28 22:13:49,61.2767,108.0108,-1.97,100,100,2.89
147,Minden,DE,2021-11-28 22:10:39,52.2833,8.9167,37.62,93,75,9.22
148,Kavaratti,IN,2021-11-28 22:13:50,10.5669,72.642,80.55,81,99,17.85
149,Leirvik,NO,2021-11-28 22:13:50,59.7798,5.5005,23.41,54,2,5.64
150,Clonmel,IE,2021-11-28 22:13:51,52.355,-7.7039,38.34,97,62,3.38
151,Sigli,ID,2021-11-28 22:13:51,5.3848,95.9609,77.25,83,100,4.85
